id,source,dest,request_time,elevator,estimated_wait_time,pickup_time,actual_wait_time,dropoff_time,travel_time,total_time
passenger1,1,55,0,E1,0,0,0,54,54,54
passenger2,30,2,0,E2,29,29,29,57,28,57
passenger3,10,45,0,E1,9,9,9,44,35,44
passenger4,50,5,5,E3,49,54,49,99,45,94
passenger5,15,58,8,E4,14,22,14,65,43,57
passenger6,55,3,12,E5,54,66,54,118,52,106
passenger7,2,40,15,E6,1,16,1,54,38,39
passenger8,58,20,20,E1,37,57,37,95,38,75
passenger9,4,50,25,E2,22,55,30,105,50,80
passenger10,45,1,30,E3,19,49,19,103,54,73
