time,E1,E2,E3,E4,E5,E6
0,1,1,1,1,1,1
1,2,2,1,1,1,1
2,3,3,1,1,1,1
3,4,4,1,1,1,1
4,5,5,1,1,1,1
5,6,6,1,1,1,1
6,7,7,2,1,1,1
7,8,8,3,1,1,1
8,9,9,4,1,1,1
9,10,10,5,2,1,1
10,11,11,6,3,1,1
11,12,12,7,4,1,1
12,13,13,8,5,1,1
13,14,14,9,6,2,1
14,15,15,10,7,3,1
15,16,16,11,8,4,1
16,17,17,12,9,5,2
17,18,18,13,10,6,3
18,19,19,14,11,7,4
19,20,20,15,12,8,5
20,21,21,16,13,9,6
21,22,22,17,14,10,7
22,23,23,18,15,11,8
23,24,24,19,16,12,9
24,25,25,20,17,13,10
25,26,26,21,18,14,11
26,27,27,22,19,15,12
27,28,28,23,20,16,13
28,29,29,24,21,17,14
29,30,30,25,22,18,15
30,31,29,26,23,19,16
31,32,28,27,24,20,17
32,33,27,28,25,21,18
33,34,26,29,26,22,19
34,35,25,30,27,23,20
35,36,24,31,28,24,21
36,37,23,32,29,25,22
37,38,22,33,30,26,23
38,39,21,34,31,27,24
39,40,20,35,32,28,25
40,41,19,36,33,29,26
41,42,18,37,34,30,27
42,43,17,38,35,31,28
43,44,16,39,36,32,29
44,45,15,40,37,33,30
45,46,14,41,38,34,31
46,47,13,42,39,35,32
47,48,12,43,40,36,33
48,49,11,44,41,37,34
49,50,10,45,42,38,35
50,51,9,46,43,39,36
51,52,8,47,44,40,37
52,53,7,48,45,41,38
53,54,6,49,46,42,39
54,55,5,50,47,43,40
55,56,4,49,48,44,40
56,57,3,48,49,45,40
57,58,2,47,50,46,40
58,57,3,46,51,47,40
59,56,4,45,52,48,40
60,55,5,44,53,49,40
61,54,6,43,54,50,40
62,53,7,42,55,51,40
63,52,8,41,56,52,40
64,51,9,40,57,53,40
65,50,10,39,58,54,40
66,49,11,38,58,55,40
67,48,12,37,58,54,40
68,47,13,36,58,53,40
69,46,14,35,58,52,40
70,45,15,34,58,51,40
71,44,16,33,58,50,40
72,43,17,32,58,49,40
73,42,18,31,58,48,40
74,41,19,30,58,47,40
75,40,20,29,58,46,40
76,39,21,28,58,45,40
77,38,22,27,58,44,40
78,37,23,26,58,43,40
79,36,24,25,58,42,40
80,35,25,24,58,41,40
81,34,26,23,58,40,40
82,33,27,22,58,39,40
83,32,28,21,58,38,40
84,31,29,20,58,37,40
85,30,30,19,58,36,40
86,29,31,18,58,35,40
87,28,32,17,58,34,40
88,27,33,16,58,33,40
89,26,34,15,58,32,40
90,25,35,14,58,31,40
91,24,36,13,58,30,40
92,23,37,12,58,29,40
93,22,38,11,58,28,40
94,21,39,10,58,27,40
95,20,40,9,58,26,40
96,20,41,8,58,25,40
97,20,42,7,58,24,40
98,20,43,6,58,23,40
99,20,44,5,58,22,40
100,20,45,4,58,21,40
101,20,46,3,58,20,40
102,20,47,2,58,19,40
103,20,48,1,58,18,40
104,20,49,1,58,17,40
105,20,50,1,58,16,40
106,20,50,1,58,15,40
107,20,50,1,58,14,40
108,20,50,1,58,13,40
109,20,50,1,58,12,40
110,20,50,1,58,11,40
111,20,50,1,58,10,40
112,20,50,1,58,9,40
113,20,50,1,58,8,40
114,20,50,1,58,7,40
115,20,50,1,58,6,40
116,20,50,1,58,5,40
117,20,50,1,58,4,40
118,20,50,1,58,3,40
