time,E1,E2,E3,E4,E5,E6
0,1,1,1,1,1,1
1,2,2,1,1,1,1
2,3,3,1,1,1,1
3,4,4,1,1,1,1
4,5,5,1,1,1,1
5,6,6,1,1,1,1
6,7,7,2,1,1,1
7,8,8,3,1,1,1
8,9,9,4,1,1,1
9,10,10,5,2,1,1
10,11,11,6,3,1,1
11,12,12,7,4,1,1
12,13,13,8,5,1,1
13,14,14,9,6,2,1
14,15,15,10,7,3,1
15,16,16,11,8,4,1
16,17,17,12,9,5,2
17,18,18,13,10,6,3
18,19,19,14,11,7,4
19,20,20,15,12,8,5
20,21,21,16,13,9,6
21,22,22,17,14,10,7
22,23,23,18,15,11,8
23,24,24,19,16,12,9
24,25,25,20,17,13,10
25,26,26,21,18,14,11
26,27,27,22,19,15,12
27,28,28,23,20,16,13
28,29,29,24,21,17,14
29,30,30,25,22,18,15
30,31,31,26,23,19,16
31,32,32,27,24,20,17
32,33,33,28,25,21,18
33,34,34,29,26,22,19
34,35,35,30,27,23,20
35,36,36,31,28,24,21
36,37,37,32,29,25,22
37,38,38,33,30,26,23
38,39,39,34,31,27,24
39,40,40,35,32,28,25
40,41,41,36,33,29,26
41,42,42,37,34,30,27
42,43,43,38,35,31,28
43,44,44,39,36,32,29
44,45,45,40,37,33,30
45,46,46,41,38,34,31
46,47,47,42,39,35,32
47,48,48,43,40,36,33
48,49,49,44,41,37,34
49,50,50,45,42,38,35
50,51,51,46,43,39,36
51,52,52,47,44,40,37
52,53,53,48,45,41,38
53,54,54,49,46,42,39
54,55,55,50,47,43,40
55,56,56,51,48,44,40
56,57,57,52,49,45,40
57,58,58,53,50,46,40
58,59,59,54,51,47,40
59,60,60,55,52,48,40
60,59,59,56,53,49,40
61,58,58,57,54,50,40
62,57,57,58,55,51,40
63,56,56,59,56,52,40
64,55,55,60,57,53,40
65,54,54,59,58,54,40
66,53,53,58,58,55,40
67,52,52,57,58,56,40
68,51,51,56,58,57,40
69,50,50,55,58,58,40
70,49,49,54,58,59,40
71,48,48,53,58,60,40
72,47,47,52,58,59,40
73,46,46,51,58,58,40
74,45,45,50,58,57,40
75,44,44,49,58,56,40
76,43,43,48,58,55,40
77,42,42,47,58,54,40
78,41,41,46,58,53,40
79,40,40,45,58,52,40
80,39,39,44,58,51,40
81,38,38,43,58,50,40
82,37,37,42,58,49,40
83,36,36,41,58,48,40
84,35,35,40,58,47,40
85,34,34,39,58,46,40
86,33,33,38,58,45,40
87,32,32,37,58,44,40
88,31,31,36,58,43,40
89,30,30,35,58,42,40
90,29,29,34,58,41,40
91,28,28,33,58,40,40
92,27,27,32,58,39,40
93,26,26,31,58,38,40
94,25,25,30,58,37,40
95,24,24,29,58,36,40
96,23,23,28,58,35,40
97,22,22,27,58,34,40
98,21,21,26,58,33,40
99,20,20,25,58,32,40
100,20,19,24,58,31,40
101,20,18,23,58,30,40
102,20,17,22,58,29,40
103,20,16,21,58,28,40
104,20,15,20,58,27,40
105,20,14,19,58,26,40
106,20,13,18,58,25,40
107,20,12,17,58,24,40
108,20,11,16,58,23,40
109,20,10,15,58,22,40
110,20,9,14,58,21,40
111,20,8,13,58,20,40
112,20,7,12,58,19,40
113,20,6,11,58,18,40
114,20,5,10,58,17,40
115,20,4,9,58,16,40
116,20,3,8,58,15,40
117,20,2,7,58,14,40
118,20,1,6,58,13,40
119,20,2,5,58,12,40
120,20,3,4,58,11,40
121,20,4,3,58,10,40
122,20,5,2,58,9,40
123,20,6,1,58,8,40
124,20,7,1,58,7,40
125,20,8,1,58,6,40
126,20,9,1,58,5,40
127,20,10,1,58,4,40
128,20,11,1,58,3,40
129,20,12,1,58,3,40
130,20,13,1,58,3,40
131,20,14,1,58,3,40
132,20,15,1,58,3,40
133,20,16,1,58,3,40
134,20,17,1,58,3,40
135,20,18,1,58,3,40
136,20,19,1,58,3,40
137,20,20,1,58,3,40
138,20,21,1,58,3,40
139,20,22,1,58,3,40
140,20,23,1,58,3,40
141,20,24,1,58,3,40
142,20,25,1,58,3,40
143,20,26,1,58,3,40
144,20,27,1,58,3,40
145,20,28,1,58,3,40
146,20,29,1,58,3,40
147,20,30,1,58,3,40
148,20,31,1,58,3,40
149,20,32,1,58,3,40
150,20,33,1,58,3,40
151,20,34,1,58,3,40
152,20,35,1,58,3,40
153,20,36,1,58,3,40
154,20,37,1,58,3,40
155,20,38,1,58,3,40
156,20,39,1,58,3,40
157,20,40,1,58,3,40
158,20,41,1,58,3,40
159,20,42,1,58,3,40
160,20,43,1,58,3,40
161,20,44,1,58,3,40
162,20,45,1,58,3,40
163,20,46,1,58,3,40
164,20,47,1,58,3,40
165,20,48,1,58,3,40
166,20,49,1,58,3,40
167,20,50,1,58,3,40
