time,E1,E2,E3,E4
0,1,1,1,1
1,2,2,1,1
2,3,3,1,1
3,4,4,1,1
4,5,5,1,1
5,6,6,1,1
6,7,7,2,1
7,8,8,3,1
8,9,9,4,1
9,10,10,5,2
10,11,11,6,3
11,12,12,7,4
12,13,13,8,5
13,14,14,9,6
14,15,15,10,7
15,16,16,11,8
16,17,17,12,9
17,18,18,13,10
18,19,19,14,11
19,20,20,15,12
20,21,21,14,13
21,22,22,13,14
22,23,23,12,15
23,24,24,11,16
24,25,25,10,17
25,26,26,9,18
26,27,27,8,19
27,28,28,7,20
28,29,29,6,21
29,30,30,5,22
30,31,31,4,23
31,32,32,3,24
32,33,33,2,25
33,32,34,1,24
34,31,35,2,23
35,30,35,3,22
36,29,35,2,21
37,28,35,3,20
38,27,35,4,19
39,26,34,5,18
40,25,33,6,17
41,24,32,7,16
42,23,31,8,15
43,22,30,9,14
44,21,29,10,13
45,20,28,11,12
46,19,27,12,11
47,18,26,13,10
48,17,25,14,9
49,16,24,15,8
50,15,23,16,7
51,14,22,17,6
52,13,21,18,5
53,12,20,19,4
54,11,19,20,3
55,10,18,21,2
56,9,17,22,1
57,8,16,23,2
58,7,15,24,3
59,6,14,25,4
60,5,13,26,5
61,4,12,27,6
62,3,11,28,7
63,2,10,29,8
64,1,9,30,9
65,1,8,31,10
66,1,7,32,11
67,1,6,33,12
68,1,5,34,13
69,1,4,34,14
70,1,3,34,15
71,1,3,34,16
72,1,3,34,17
73,1,3,34,18
74,1,3,34,19
75,1,3,34,20
76,1,3,34,20
77,1,3,34,20
78,1,3,34,20
79,1,3,34,20
80,1,3,34,20
81,1,3,34,20
82,1,3,34,20
83,1,3,34,20
84,1,3,34,20
85,1,3,34,20
86,1,3,34,20
87,1,3,34,20
88,1,3,34,20
89,1,3,34,20
90,1,3,34,20
91,1,3,34,20
92,1,3,34,20
93,1,3,34,20
94,1,3,34,20
95,1,3,34,20
96,1,3,34,20
97,1,3,34,20
98,1,3,34,20
99,1,3,34,20
100,1,3,34,20
101,1,3,34,20
102,1,3,34,20
103,1,3,34,20
104,1,3,34,20
105,1,3,34,20
106,1,3,34,20
107,1,3,34,20
108,1,3,34,20
109,1,3,34,20
110,1,3,34,20
111,1,3,34,20
112,1,3,34,20
113,1,3,34,20
114,1,3,34,20
115,1,3,34,20
116,1,3,35,21
117,1,3,34,22
118,1,3,33,23
119,1,3,32,24
120,1,3,31,25
121,1,4,30,26
122,1,5,29,27
123,1,6,28,28
124,1,7,27,29
125,1,8,26,30
126,2,9,25,31
127,3,10,24,32
128,4,11,23,33
129,5,11,22,34
130,6,11,21,35
131,7,12,20,34
132,8,13,19,33
133,9,14,18,32
134,10,15,17,31
135,11,16,16,30
136,12,17,15,29
137,13,18,14,28
138,14,17,13,27
139,15,16,12,26
140,16,15,11,25
141,17,14,10,24
142,18,13,9,23
143,19,12,8,22
144,20,11,7,21
145,21,10,6,20
146,22,9,5,19
147,23,8,4,18
148,24,7,3,17
149,25,6,2,16
150,26,5,1,15
151,27,4,1,14
152,28,4,1,13
153,29,4,1,12
154,30,4,1,11
155,31,4,1,10
156,32,4,1,9
157,33,4,1,8
158,34,4,1,7
159,35,4,1,6
160,34,4,1,5
161,34,4,1,4
162,34,4,1,3
163,34,4,1,2
164,34,4,1,1
