id,source,dest,request_time,elevator,estimated_wait_time,pickup_time,actual_wait_time,dropoff_time,travel_time,total_time
s01,1,25,0,E1,0,0,0,24,24,24
s02,1,40,0,E1,0,0,0,39,39,39
s03,1,12,0,E1,0,0,0,11,11,11
s04,1,48,0,E1,0,0,0,47,47,47
s05,1,8,0,E1,0,0,0,7,7,7
s06,1,33,0,E1,0,0,0,32,32,32
s07,1,45,2,E2,0,2,0,48,46,46
s08,1,18,2,E2,0,2,0,19,17,17
s09,1,29,2,E2,0,2,0,32,30,30
s10,1,6,2,E2,0,2,0,7,5,5
s11,1,50,2,E2,0,2,0,53,51,51
s12,1,15,4,E3,0,4,0,18,14,14
s13,1,37,4,E3,0,4,0,40,36,36
s14,1,22,4,E3,0,4,0,25,21,21
s15,25,45,10,E1,14,24,14,44,20,34
s16,25,3,10,E3,18,28,18,74,46,64
s17,33,50,15,E1,17,32,17,49,17,34
s18,33,5,15,E3,21,36,21,72,36,57
s19,18,40,20,E2,1,21,1,43,22,23
s20,18,2,20,E3,1,21,1,75,54,55
s21,10,30,22,E4,9,31,9,51,20,29
s22,10,1,22,E4,9,31,9,126,95,104
s23,3,48,30,E5,2,32,2,85,53,55
s24,45,4,35,E1,9,44,9,95,51,60
s25,20,42,40,E4,1,41,1,65,24,25
s26,42,15,45,E2,0,45,0,88,43,43
s27,8,33,50,E6,7,57,7,84,27,34
s28,33,10,55,E4,1,56,1,117,61,62
s29,27,49,60,E5,4,64,4,86,22,26
s30,49,20,65,E4,7,78,13,107,29,42
s31,5,44,68,E3,4,72,4,119,47,51
s32,44,7,70,E4,3,73,3,120,47,50
s33,1,30,80,E1,18,98,18,127,29,47
s34,30,1,80,E6,1,81,1,120,39,40
s35,20,45,82,E2,1,83,1,118,35,36
s36,45,20,82,E4,0,82,0,107,25,25
s37,10,35,84,E3,1,85,1,110,25,26
s38,35,10,84,E6,2,86,2,111,25,27
s39,25,1,85,E6,11,96,11,120,24,35
s40,1,25,85,E1,13,98,13,122,24,37
s41,15,40,85,E2,3,88,3,113,25,28
s42,40,15,85,E4,2,87,2,112,25,27
s43,48,1,170,E5,1,171,1,224,53,54
s44,35,1,170,E3,9,179,9,213,34,43
s45,22,1,170,E1,8,178,8,199,21,29
s46,40,1,170,E3,4,174,4,213,39,43
s47,12,1,170,E4,11,183,13,194,11,24
s48,29,1,170,E1,1,171,1,199,28,29
s49,45,1,172,E2,0,172,0,222,50,50
s50,18,1,172,E1,10,182,10,199,17,27
s51,33,1,172,E3,9,181,9,213,32,41
s52,8,1,172,E4,5,177,5,194,17,22
s53,50,1,172,E5,3,175,3,224,49,52
s54,25,1,174,E1,1,175,1,199,24,25
s55,15,1,174,E1,11,185,11,199,14,25
s56,37,1,174,E3,3,177,3,213,36,39
s57,10,11,180,E4,1,181,1,182,1,2
s58,2,49,185,E6,1,186,1,233,47,48
s59,30,5,190,E2,3,193,3,218,25,28
s60,18,3,195,E3,1,196,1,211,15,16
s61,44,2,200,E6,28,228,28,280,52,80
s62,5,48,210,E1,4,214,4,257,43,47
