time,E1,E2,E3,E4,E5,E6
0,1,1,1,1,1,1
1,2,1,1,1,1,1
2,3,1,1,1,1,1
3,4,2,1,1,1,1
4,5,3,1,1,1,1
5,6,4,2,1,1,1
6,7,5,3,1,1,1
7,8,6,4,1,1,1
8,9,7,5,1,1,1
9,10,8,6,1,1,1
10,11,9,7,1,1,1
11,12,10,8,1,1,1
12,13,11,9,1,1,1
13,14,12,10,1,1,1
14,15,13,11,1,1,1
15,16,14,12,1,1,1
16,17,15,13,1,1,1
17,18,16,14,1,1,1
18,19,17,15,1,1,1
19,20,18,16,1,1,1
20,21,19,17,1,1,1
21,22,18,18,1,1,1
22,23,19,19,1,1,1
23,24,20,20,2,1,1
24,25,21,21,3,1,1
25,26,22,22,4,1,1
26,27,23,23,5,1,1
27,28,24,24,6,1,1
28,29,25,25,7,1,1
29,30,26,26,8,1,1
30,31,27,27,9,1,1
31,32,28,28,10,2,1
32,33,29,29,11,3,1
33,34,30,30,12,4,1
34,35,31,31,13,5,1
35,36,32,32,14,6,1
36,37,33,33,15,7,1
37,38,34,34,16,8,1
38,39,35,35,17,9,1
39,40,36,36,18,10,1
40,41,37,37,19,11,1
41,42,38,36,20,12,1
42,43,39,35,21,13,1
43,44,40,34,22,14,1
44,45,41,33,23,15,1
45,46,42,32,24,16,1
46,47,43,31,25,17,1
47,48,44,30,26,18,1
48,49,45,29,27,19,1
49,50,46,28,28,20,1
50,49,47,27,29,21,1
51,48,48,26,30,22,2
52,47,49,25,31,23,3
53,46,50,24,32,24,4
54,45,49,23,33,25,5
55,44,48,22,34,26,6
56,43,47,21,33,27,7
57,42,46,20,34,28,8
58,41,45,19,35,29,9
59,40,44,18,36,30,10
60,39,43,17,37,31,11
61,38,42,16,38,30,12
62,37,41,15,39,29,13
63,36,40,14,40,28,14
64,35,39,13,41,27,15
65,34,38,12,42,28,16
66,33,37,11,43,29,17
67,32,36,10,44,30,18
68,31,35,9,45,31,19
69,30,34,8,46,32,20
70,29,33,7,47,33,21
71,28,32,6,46,34,22
72,27,31,5,45,35,23
73,26,30,4,44,36,24
74,25,29,3,45,37,25
75,24,28,2,46,38,26
76,23,27,3,47,39,27
77,22,26,4,48,40,28
78,21,25,5,49,41,29
79,20,24,6,48,42,30
80,19,23,7,47,43,31
81,18,22,8,46,44,30
82,17,21,9,45,45,31
83,16,20,10,44,46,32
84,15,19,11,43,47,33
85,14,18,10,42,48,34
86,13,17,11,41,49,35
87,12,16,12,40,49,34
88,11,15,13,39,49,33
89,10,16,14,38,49,32
90,9,17,15,37,49,31
91,8,18,16,36,49,30
92,7,19,17,35,49,29
93,6,20,18,34,49,28
94,5,21,19,33,49,27
95,4,22,20,32,49,26
96,3,23,21,31,49,25
97,2,24,22,30,49,24
98,1,25,23,29,49,23
99,2,26,24,28,49,22
100,3,27,25,27,49,21
101,4,28,26,26,49,20
102,5,29,27,25,49,19
103,6,30,28,24,49,18
104,7,31,29,23,49,17
105,8,32,30,22,49,16
106,9,33,31,21,49,15
107,10,34,32,20,49,14
108,11,35,33,19,49,13
109,12,36,34,18,49,12
110,13,37,35,17,49,11
111,14,38,36,16,49,10
112,15,39,37,15,49,9
113,16,40,38,14,49,8
114,17,41,39,13,49,7
115,18,42,40,12,49,6
116,19,43,41,11,49,5
117,20,44,42,10,49,4
118,21,45,43,9,49,3
119,22,45,44,8,49,2
120,23,45,44,7,49,1
121,24,45,44,6,49,1
122,25,45,44,5,49,1
123,26,45,44,4,49,1
124,27,45,44,3,49,1
125,28,45,44,2,49,1
126,29,45,44,1,49,1
127,30,45,44,1,49,1
128,30,45,44,1,49,1
129,30,45,44,1,49,1
130,30,45,44,1,49,1
131,30,45,44,1,49,1
132,30,45,44,1,49,1
133,30,45,44,1,49,1
134,30,45,44,1,49,1
135,30,45,44,1,49,1
136,30,45,44,1,49,1
137,30,45,44,1,49,1
138,30,45,44,1,49,1
139,30,45,44,1,49,1
140,30,45,44,1,49,1
141,30,45,44,1,49,1
142,30,45,44,1,49,1
143,30,45,44,1,49,1
144,30,45,44,1,49,1
145,30,45,44,1,49,1
146,30,45,44,1,49,1
147,30,45,44,1,49,1
148,30,45,44,1,49,1
149,30,45,44,1,49,1
150,30,45,44,1,49,1
151,30,45,44,1,49,1
152,30,45,44,1,49,1
153,30,45,44,1,49,1
154,30,45,44,1,49,1
155,30,45,44,1,49,1
156,30,45,44,1,49,1
157,30,45,44,1,49,1
158,30,45,44,1,49,1
159,30,45,44,1,49,1
160,30,45,44,1,49,1
161,30,45,44,1,49,1
162,30,45,44,1,49,1
163,30,45,44,1,49,1
164,30,45,44,1,49,1
165,30,45,44,1,49,1
166,30,45,44,1,49,1
167,30,45,44,1,49,1
168,30,45,44,1,49,1
169,30,45,44,1,49,1
170,30,45,44,1,49,1
171,29,45,43,2,48,1
172,28,45,42,3,47,1
173,27,44,41,4,48,1
174,26,43,40,5,49,1
175,25,42,39,6,50,1
176,24,41,38,7,49,1
177,23,40,37,8,48,1
178,22,39,36,9,47,1
179,21,38,35,10,46,1
180,20,37,34,11,45,1
181,19,36,33,10,44,1
182,18,35,32,11,43,1
183,17,34,31,12,42,1
184,16,33,30,11,41,1
185,15,32,29,10,40,1
186,14,31,28,9,39,2
187,13,30,27,8,38,3
188,12,29,26,7,37,4
189,11,28,25,6,36,5
190,10,27,24,5,35,6
191,9,28,23,4,34,7
192,8,29,22,3,33,8
193,7,30,21,2,32,9
194,6,29,20,1,31,10
195,5,28,19,1,30,11
196,4,27,18,1,29,12
197,3,26,17,1,28,13
198,2,25,16,1,27,14
199,1,24,15,1,26,15
200,1,23,14,1,25,16
201,1,22,13,1,24,17
202,1,21,12,1,23,18
203,1,20,11,1,22,19
