time,id,source,dest
0,s01,1,25
0,s02,1,40
0,s03,1,12
0,s04,1,48
0,s05,1,8
0,s06,1,33
2,s07,1,45
2,s08,1,18
2,s09,1,29
2,s10,1,6
2,s11,1,50
4,s12,1,15
4,s13,1,37
4,s14,1,22
10,s15,25,45
10,s16,25,3
15,s17,33,50
15,s18,33,5
20,s19,18,40
20,s20,18,2
22,s21,10,30
22,s22,10,1
30,s23,3,48
35,s24,45,4
40,s25,20,42
45,s26,42,15
50,s27,8,33
55,s28,33,10
60,s29,27,49
65,s30,49,20
68,s31,5,44
70,s32,44,7
80,s33,1,30
80,s34,30,1
82,s35,20,45
82,s36,45,20
84,s37,10,35
84,s38,35,10
85,s39,25,1
85,s40,1,25
85,s41,15,40
85,s42,40,15
170,s43,48,1
170,s44,35,1
170,s45,22,1
170,s46,40,1
170,s47,12,1
170,s48,29,1
172,s49,45,1
172,s50,18,1
172,s51,33,1
172,s52,8,1
172,s53,50,1
174,s54,25,1
174,s55,15,1
174,s56,37,1
180,s57,10,11
185,s58,2,49
190,s59,30,5
195,s60,18,3
200,s61,44,2
210,s62,5,48
