id,source,dest,request_time,elevator,estimated_wait_time,pickup_time,actual_wait_time,dropoff_time,travel_time,total_time
p01,1,15,0,E1,0,0,0,14,14,14
p02,1,22,0,E1,0,0,0,21,21,21
p03,1,3,0,E1,0,0,0,2,2,2
p04,1,30,0,E2,0,0,0,29,29,29
p05,1,9,0,E1,0,0,0,8,8,8
p06,1,18,0,E1,0,0,0,17,17,17
p07,1,35,0,E2,0,0,0,34,34,34
p08,1,12,0,E1,0,0,0,11,11,11
p09,1,26,0,E1,0,0,0,25,25,25
p10,1,7,0,E1,0,0,0,6,6,6
p11,15,30,5,E1,9,14,9,29,15,24
p12,15,2,5,E3,14,19,14,32,13,27
p13,20,5,8,E1,11,19,11,54,35,46
p14,20,33,8,E2,11,19,11,32,13,24
p15,10,25,12,E4,9,21,9,36,15,24
p16,10,1,12,E3,2,14,2,33,19,21
p17,3,34,20,E3,11,31,11,66,35,46
p18,33,4,23,E2,9,32,9,65,33,42
p19,28,14,26,E1,1,27,1,45,18,19
p20,5,31,29,E3,0,29,0,63,34,34
p21,31,6,32,E2,6,38,6,63,25,31
p22,2,29,35,E1,22,57,22,86,29,51
p23,29,3,38,E2,2,40,2,66,26,28
p24,1,20,45,E1,13,58,13,77,19,32
p25,20,1,45,E2,4,49,4,68,19,23
p26,12,25,46,E1,1,47,1,82,35,36
p27,25,12,46,E4,0,46,0,59,13,13
p28,8,19,48,E1,3,51,3,76,25,28
p29,19,8,48,E2,2,50,2,61,11,13
p30,15,1,50,E2,4,54,4,68,14,18
p31,1,15,50,E1,8,58,8,72,14,22
p32,35,1,115,E3,1,116,1,150,34,35
p33,35,2,115,E3,1,116,1,149,33,34
p34,35,1,115,E3,1,116,1,150,34,35
p35,34,1,115,E3,0,115,0,150,35,35
p36,35,3,115,E3,1,116,1,148,32,33
p37,33,1,115,E3,1,118,3,150,32,35
p38,35,1,115,E3,1,116,1,150,34,35
p39,32,2,115,E3,2,119,4,149,30,34
p40,35,1,115,E1,6,121,6,155,34,40
p41,10,11,120,E4,2,122,2,123,1,3
p42,2,34,125,E2,1,126,1,158,32,33
p43,18,4,130,E4,7,137,7,151,14,21
p44,35,34,140,E2,19,159,19,160,1,20
