time,E1,E2,E3,E4
0,1,1,1,1
1,2,2,1,1
2,3,3,1,1
3,4,4,1,1
4,5,5,1,1
5,6,6,1,1
6,7,7,2,1
7,8,8,3,1
8,9,9,4,1
9,10,10,5,1
10,11,11,6,1
11,12,12,7,1
12,13,13,8,1
13,14,14,9,2
14,15,15,10,3
15,16,16,11,4
16,17,17,12,5
17,18,18,13,6
18,19,19,14,7
19,20,20,15,8
20,21,21,14,9
21,22,22,13,10
22,23,23,12,11
23,24,24,11,12
24,25,25,10,13
25,26,26,9,14
26,27,27,8,15
27,28,28,7,16
28,29,29,6,17
29,30,30,5,18
30,29,31,4,19
31,28,32,3,20
32,27,33,2,21
33,26,34,1,22
34,25,35,2,23
35,24,34,3,24
36,23,33,4,25
37,22,32,5,25
38,21,31,6,25
39,20,30,7,25
40,19,29,8,25
41,18,28,9,25
42,17,27,10,25
43,16,26,11,25
44,15,25,12,25
45,14,24,13,25
46,13,23,14,25
47,12,22,15,24
48,11,21,16,23
49,10,20,17,22
50,9,19,18,21
51,8,18,19,20
52,7,17,20,19
53,6,16,21,18
54,5,15,22,17
55,4,14,23,16
56,3,13,24,15
57,2,12,25,14
58,1,11,26,13
59,2,10,27,12
60,3,9,28,12
61,4,8,29,12
62,5,7,30,12
63,6,6,31,12
64,7,5,32,12
65,8,4,33,12
66,9,3,34,12
67,10,2,34,12
68,11,1,34,12
69,12,1,34,12
70,13,1,34,12
71,14,1,34,12
72,15,1,34,12
73,16,1,34,12
74,17,1,34,12
75,18,1,34,12
76,19,1,34,12
77,20,1,34,12
78,21,1,34,12
79,22,1,34,12
80,23,1,34,12
81,24,1,34,12
82,25,1,34,12
83,26,1,34,12
84,27,1,34,12
85,28,1,34,12
86,29,1,34,12
87,29,1,34,12
88,29,1,34,12
89,29,1,34,12
90,29,1,34,12
91,29,1,34,12
92,29,1,34,12
93,29,1,34,12
94,29,1,34,12
95,29,1,34,12
96,29,1,34,12
97,29,1,34,12
98,29,1,34,12
99,29,1,34,12
100,29,1,34,12
101,29,1,34,12
102,29,1,34,12
103,29,1,34,12
104,29,1,34,12
105,29,1,34,12
106,29,1,34,12
107,29,1,34,12
108,29,1,34,12
109,29,1,34,12
110,29,1,34,12
111,29,1,34,12
112,29,1,34,12
113,29,1,34,12
114,29,1,34,12
115,29,1,34,12
116,30,1,35,12
117,31,1,34,12
118,32,1,33,12
119,33,1,32,12
120,34,1,31,12
121,35,1,30,11
122,34,1,29,10
123,33,1,28,11
124,32,1,27,11
125,31,1,26,11
126,30,2,25,11
127,29,3,24,11
128,28,4,23,11
129,27,5,22,11
130,26,6,21,11
131,25,7,20,12
132,24,8,19,13
133,23,9,18,14
134,22,10,17,15
135,21,11,16,16
136,20,12,15,17
137,19,13,14,18
138,18,14,13,17
139,17,15,12,16
140,16,16,11,15
141,15,17,10,14
142,14,18,9,13
143,13,19,8,12
144,12,20,7,11
145,11,21,6,10
146,10,22,5,9
147,9,23,4,8
148,8,24,3,7
149,7,25,2,6
150,6,26,1,5
151,5,27,1,4
152,4,28,1,4
153,3,29,1,4
154,2,30,1,4
155,1,31,1,4
156,1,32,1,4
157,1,33,1,4
158,1,34,1,4
159,1,35,1,4
160,1,34,1,4
