time,E1,E2
0,1,1
1,2,2
2,3,3
3,4,4
4,5,5
5,6,6
6,7,7
7,8,8
8,9,9
9,10,10
10,11,11
11,12,12
12,13,13
13,14,14
14,15,14
15,14,14
16,13,14
17,12,14
18,11,14
19,10,14
20,9,14
21,8,14
22,7,14
23,6,14
24,5,14
25,4,14
26,3,14
27,2,14
28,1,14
29,2,14
30,3,14
31,4,13
32,5,12
33,6,11
34,7,10
35,8,9
36,9,8
37,10,9
38,11,10
39,12,11
40,13,12
41,14,13
42,15,14
43,14,15
44,13,14
45,12,13
46,11,12
47,10,11
48,9,10
49,8,9
50,9,8
51,10,9
52,11,10
53,12,11
54,13,12
55,14,13
56,15,14
57,15,15
58,15,15
59,15,15
60,15,15
61,14,14
62,13,13
63,12,12
64,11,11
65,10,10
66,9,9
67,8,8
68,7,7
69,6,6
70,5,5
71,4,4
72,3,3
73,2,2
74,1,1
75,2,1
76,3,1
77,4,1
78,5,1
79,6,1
80,7,1
81,8,1
82,9,1
83,10,1
84,11,1
85,12,1
86,13,1
87,14,1
88,15,1
89,14,1
90,13,1
91,12,1
92,11,1
93,10,1
94,9,1
95,8,1
96,7,1
97,6,1
98,5,1
99,4,1
100,3,1
101,2,1
102,1,1
