id,source,dest,request_time,elevator,estimated_wait_time,pickup_time,actual_wait_time,dropoff_time,travel_time,total_time
d01,35,1,0,E1,34,34,34,74,40,74
d02,22,1,0,E1,21,21,21,74,53,74
d03,8,1,0,E1,7,7,7,74,67,74
d04,29,1,0,E1,28,28,28,74,46,74
d05,12,1,0,E1,11,11,11,74,63,74
d06,38,1,0,E1,37,37,37,74,37,74
d07,5,1,0,E1,4,4,4,74,70,74
d08,18,1,0,E1,17,17,17,74,57,74
d09,40,1,2,E2,39,41,39,80,39,78
d10,10,1,2,E2,9,11,9,80,69,78
d11,20,1,2,E2,19,21,19,80,59,78
d12,33,1,2,E2,32,34,32,80,46,78
d13,27,1,2,E2,26,28,26,80,52,78
d14,14,1,2,E2,13,15,13,80,65,78
d15,37,1,2,E2,36,38,36,80,42,78
d16,23,1,2,E2,22,24,22,80,56,78
d17,17,1,4,E3,16,20,16,80,60,76
d18,28,1,4,E3,27,31,27,80,49,76
d19,36,1,4,E3,35,39,35,80,41,76
d20,24,1,4,E3,23,27,23,80,53,76
d21,11,1,4,E3,10,14,10,80,66,76
d22,39,1,4,E3,38,42,38,80,38,76
d23,9,1,4,E3,8,12,8,80,68,76
d24,19,1,6,E4,18,24,18,66,42,60
d25,4,1,6,E4,3,9,3,66,57,60
d26,26,1,6,E4,25,31,25,66,35,60
d27,13,1,6,E4,12,18,12,66,48,60
d28,31,1,6,E4,30,36,30,66,30,60
