time,E1,E2,E3,E4,E5
0,1,1,1,1,1
1,2,1,1,1,1
2,3,1,1,1,1
3,4,2,1,1,1
4,5,3,1,1,1
5,6,4,2,1,1
6,7,5,3,1,1
7,8,6,4,2,1
8,9,7,5,3,1
9,10,8,6,4,1
10,11,9,7,5,1
11,12,10,8,6,1
12,13,11,9,7,1
13,14,12,10,8,1
14,15,13,11,9,1
15,16,14,12,10,1
16,17,15,13,11,1
17,18,16,14,12,1
18,19,17,15,13,1
19,20,18,16,14,1
20,21,19,17,15,1
21,22,20,18,16,1
22,23,21,19,17,1
23,24,22,20,18,1
24,25,23,21,19,1
25,26,24,22,20,1
26,27,25,23,21,1
27,28,26,24,22,1
28,29,27,25,23,1
29,30,28,26,24,1
30,31,29,27,25,1
31,32,30,28,26,1
32,33,31,29,27,1
33,34,32,30,28,1
34,35,33,31,29,1
35,36,34,32,30,1
36,37,35,33,31,1
37,38,36,34,30,1
38,37,37,35,29,1
39,36,38,36,28,1
40,35,39,37,27,1
41,34,40,38,26,1
42,33,39,39,25,1
43,32,38,38,24,1
44,31,37,37,23,1
45,30,36,36,22,1
46,29,35,35,21,1
47,28,34,34,20,1
48,27,33,33,19,1
49,26,32,32,18,1
50,25,31,31,17,1
51,24,30,30,16,1
52,23,29,29,15,1
53,22,28,28,14,1
54,21,27,27,13,1
55,20,26,26,12,1
56,19,25,25,11,1
57,18,24,24,10,1
58,17,23,23,9,1
59,16,22,22,8,1
60,15,21,21,7,1
61,14,20,20,6,1
62,13,19,19,5,1
63,12,18,18,4,1
64,11,17,17,3,1
65,10,16,16,2,1
66,9,15,15,1,1
67,8,14,14,1,1
68,7,13,13,1,1
69,6,12,12,1,1
70,5,11,11,1,1
71,4,10,10,1,1
72,3,9,9,1,1
73,2,8,8,1,1
74,1,7,7,1,1
75,1,6,6,1,1
76,1,5,5,1,1
77,1,4,4,1,1
78,1,3,3,1,1
79,1,2,2,1,1
80,1,1,1,1,1
