time,E1,E2,E3,E4
0,1,1,1,1
1,2,2,1,1
2,3,3,1,1
3,4,4,1,1
4,5,5,1,1
5,6,6,1,1
6,7,7,2,2
7,8,8,3,3
8,9,9,4,4
9,10,10,5,5
10,11,11,6,6
11,12,12,7,7
12,13,13,8,8
13,14,14,9,9
14,15,15,10,10
15,16,16,11,11
16,17,17,12,12
17,18,18,13,13
18,19,19,14,14
19,20,20,15,15
20,21,21,16,14
21,22,22,17,13
22,23,23,18,12
23,24,24,19,11
24,25,25,20,10
25,26,26,21,9
26,27,27,22,8
27,28,28,23,7
28,29,29,24,6
29,30,30,25,5
30,31,31,26,4
31,32,32,27,3
32,33,33,28,2
33,34,32,29,1
34,35,31,30,2
35,34,30,29,3
36,33,29,28,4
37,32,28,27,5
38,31,27,26,6
39,30,26,25,7
40,29,25,24,8
41,28,24,23,9
42,27,23,22,10
43,26,22,21,11
44,25,21,20,12
45,24,20,19,13
46,23,19,18,14
47,22,18,17,15
48,21,17,16,16
49,20,16,15,17
50,19,15,14,18
51,18,14,13,19
52,17,13,12,20
53,16,12,11,21
54,15,11,10,22
55,14,10,9,23
56,13,9,8,24
57,12,8,7,25
58,11,7,6,26
59,10,6,5,27
60,9,5,4,28
61,8,4,3,29
62,7,3,2,30
63,6,2,1,31
64,5,1,2,30
65,4,2,3,29
66,3,3,4,28
67,2,4,5,27
68,1,5,6,26
69,2,6,7,25
70,3,7,8,24
71,4,8,9,23
72,5,9,10,22
73,6,10,11,21
74,7,11,12,20
75,8,12,13,19
76,9,13,14,18
77,10,14,15,17
78,11,15,16,16
79,12,16,17,15
80,13,17,18,14
81,14,18,19,13
82,15,19,20,12
83,16,20,21,11
84,17,21,22,10
85,18,22,23,9
86,19,23,24,8
87,20,24,25,7
88,21,25,26,6
89,22,26,27,5
90,23,27,28,4
91,24,28,29,3
92,25,29,28,2
93,26,29,27,1
94,27,29,26,2
95,28,29,25,3
96,29,29,24,4
97,30,29,23,5
98,31,29,22,6
99,32,29,21,7
100,33,29,20,8
101,34,29,19,9
102,34,29,18,10
103,34,29,17,11
104,34,29,16,12
105,34,29,15,13
106,34,29,14,14
107,34,29,13,15
108,34,29,12,16
109,34,29,11,17
110,34,29,10,18
111,34,29,9,19
112,34,29,8,20
113,34,29,7,20
114,34,29,6,20
115,34,29,5,20
116,35,29,4,21
117,34,29,3,22
118,33,29,3,23
119,32,29,3,24
120,31,29,3,25
121,30,28,3,26
122,29,27,3,27
123,28,26,3,28
124,27,25,3,29
125,26,24,3,30
126,25,23,2,31
127,24,22,3,32
128,23,21,4,33
129,22,20,5,34
130,21,19,6,35
131,20,18,7,34
132,19,17,8,33
133,18,16,9,32
134,17,15,10,31
135,16,14,11,30
136,15,13,12,29
137,14,12,13,28
138,13,11,14,27
139,12,10,15,26
140,11,11,16,25
141,10,11,17,24
142,9,11,18,23
143,8,11,19,22
144,7,11,20,21
145,6,11,21,20
146,5,11,22,19
147,4,11,23,18
148,3,11,24,17
149,2,11,25,16
150,1,11,26,15
151,2,11,27,14
152,3,11,28,13
153,4,11,29,12
154,5,11,30,11
155,6,11,31,10
156,7,11,32,9
157,8,11,33,8
158,9,11,34,7
159,10,11,34,6
160,11,11,34,5
161,12,11,34,4
162,13,11,34,3
163,14,11,34,2
164,15,11,34,1
165,16,11,34,2
166,17,11,34,3
167,18,11,34,4
168,19,11,34,5
169,20,11,34,6
170,21,11,34,7
171,22,11,34,8
172,23,11,34,9
173,24,11,34,10
174,25,11,34,11
175,26,11,34,12
176,27,11,34,13
177,28,11,34,14
178,29,11,34,15
179,30,11,34,16
180,31,11,34,17
181,32,11,34,18
182,33,11,34,17
183,34,11,34,16
184,35,11,34,15
185,34,11,34,14
186,34,11,34,13
187,34,11,34,12
188,34,11,34,11
189,34,11,34,10
190,34,11,34,9
191,34,11,34,8
192,34,11,34,7
193,34,11,34,6
194,34,11,34,5
195,34,11,34,4
