id,source,dest,request_time,elevator,estimated_wait_time,pickup_time,actual_wait_time,dropoff_time,travel_time,total_time
s01,1,25,0,E1,0,0,0,24,24,24
s02,1,40,0,E1,0,0,0,39,39,39
s03,1,12,0,E1,0,0,0,11,11,11
s04,1,48,0,E1,0,0,0,47,47,47
s05,1,8,0,E1,0,0,0,7,7,7
s06,1,33,0,E1,0,0,0,32,32,32
s07,1,45,2,E2,0,2,0,46,44,44
s08,1,18,2,E2,0,2,0,19,17,17
s09,1,29,2,E2,0,2,0,30,28,28
s10,1,6,2,E2,0,2,0,7,5,5
s11,1,50,2,E2,0,2,0,51,49,49
s12,1,15,4,E3,0,4,0,18,14,14
s13,1,37,4,E3,0,4,0,40,36,36
s14,1,22,4,E3,0,4,0,25,21,21
s15,25,45,10,E4,24,34,24,54,20,44
s16,25,3,10,E5,24,34,24,56,22,46
s17,33,50,15,E6,32,47,32,64,17,49
s18,33,5,15,E1,17,32,17,90,58,75
s19,18,40,20,E2,1,83,63,131,48,111
s20,18,2,20,E3,1,21,1,75,54,55
s21,10,30,22,E4,3,89,67,127,38,105
s22,10,1,22,E5,3,49,27,58,9,36
s23,3,48,30,E6,13,111,81,156,45,126
s24,45,4,35,E1,9,44,9,91,47,56
s25,20,42,40,E2,19,81,41,133,52,93
s26,42,15,45,E3,10,115,70,146,31,101
s27,8,33,50,E4,33,91,41,130,39,80
s28,33,10,55,E5,29,90,35,113,23,58
s29,27,49,60,E6,19,87,27,157,70,97
s30,49,20,65,E1,19,136,71,165,29,100
s31,5,44,68,E2,28,96,28,135,39,67
s32,44,7,70,E3,37,117,47,154,37,84
s33,1,30,80,E4,18,98,18,127,29,47
s34,30,1,80,E5,7,87,7,122,35,42
s35,20,45,82,E6,12,94,12,153,59,71
s36,45,20,82,E1,32,132,50,165,33,83
s37,10,35,84,E2,7,91,7,126,35,42
s38,35,10,84,E3,24,108,24,151,43,67
s39,25,1,85,E4,11,122,37,176,54,91
s40,1,25,85,E5,27,122,37,146,24,61
s41,15,40,85,E5,13,108,23,161,53,76
s42,40,15,85,E4,26,137,52,162,25,77
s43,48,1,170,E6,1,171,1,218,47,48
s44,35,1,170,E6,14,184,14,218,34,48
s45,22,1,170,E6,27,197,27,218,21,48
s46,40,1,170,E6,9,179,9,218,39,48
s47,12,1,170,E6,37,207,37,218,11,48
s48,29,1,170,E6,20,190,20,218,28,48
s49,45,1,172,E1,25,197,25,251,54,79
s50,18,1,172,E1,2,234,62,251,17,79
s51,33,1,172,E1,13,185,13,251,66,79
s52,8,1,172,E1,12,244,72,251,7,79
s53,50,1,172,E1,30,202,30,251,49,79
s54,25,1,174,E2,19,193,19,217,24,43
s55,15,1,174,E2,29,203,29,217,14,43
s56,37,1,174,E2,7,181,7,217,36,43
s57,10,11,180,E3,3,183,3,184,1,4
s58,2,49,185,E4,1,186,1,233,47,48
s59,30,5,190,E5,10,200,10,225,25,35
s60,18,3,195,E6,6,201,6,216,15,21
s61,44,2,200,E1,4,208,8,250,42,50
s62,5,48,210,E2,3,213,3,264,51,54
