time,E1,E2,E3,E4,E5,E6
0,1,1,1,1,1,1
1,2,1,1,1,1,1
2,3,1,1,1,1,1
3,4,2,1,1,1,1
4,5,3,1,1,1,1
5,6,4,2,1,1,1
6,7,5,3,1,1,1
7,8,6,4,1,1,1
8,9,7,5,1,1,1
9,10,8,6,1,1,1
10,11,9,7,1,1,1
11,12,10,8,2,2,1
12,13,11,9,3,3,1
13,14,12,10,4,4,1
14,15,13,11,5,5,1
15,16,14,12,6,6,1
16,17,15,13,7,7,2
17,18,16,14,8,8,3
18,19,17,15,9,9,4
19,20,18,16,10,10,5
20,21,19,17,11,11,6
21,22,20,18,12,12,7
22,23,21,19,13,13,8
23,24,22,20,14,14,9
24,25,23,21,15,15,10
25,26,24,22,16,16,11
26,27,25,23,17,17,12
27,28,26,24,18,18,13
28,29,27,25,19,19,14
29,30,28,26,20,20,15
30,31,29,27,21,21,16
31,32,30,28,22,22,17
32,33,31,29,23,23,18
33,34,32,30,24,24,19
34,35,33,31,25,25,20
35,36,34,32,26,24,21
36,37,35,33,27,23,22
37,38,36,34,28,22,23
38,39,37,35,29,21,24
39,40,38,36,30,20,25
40,41,39,37,31,19,26
41,42,40,36,32,18,27
42,43,41,35,33,17,28
43,44,42,34,34,16,29
44,45,43,33,35,15,30
45,46,44,32,36,14,31
46,47,45,31,37,13,32
47,48,46,30,38,12,33
48,47,47,29,39,11,34
49,46,48,28,40,10,35
50,45,49,27,41,9,36
51,44,50,26,42,8,37
52,43,49,25,43,7,38
53,42,48,24,44,6,39
54,41,47,23,45,5,40
55,40,46,22,44,4,41
56,39,45,21,43,3,42
57,38,44,20,42,2,43
58,37,43,19,41,1,44
59,36,42,18,40,2,45
60,35,41,17,39,3,46
61,34,40,16,38,4,47
62,33,39,15,37,5,48
63,32,38,14,36,6,49
64,31,37,13,35,7,50
65,30,36,12,34,8,49
66,29,35,11,33,9,48
67,28,34,10,32,10,47
68,27,33,9,31,11,46
69,26,32,8,30,12,45
70,25,31,7,29,13,44
71,24,30,6,28,14,43
72,23,29,5,27,15,42
73,22,28,4,26,16,41
74,21,27,3,25,17,40
75,20,26,2,24,18,39
76,19,25,3,23,19,38
77,18,24,4,22,20,37
78,17,23,5,21,21,36
79,16,22,6,20,22,35
80,15,21,7,19,23,34
81,14,20,8,18,24,33
82,13,19,9,17,25,32
83,12,18,10,16,26,31
84,11,17,11,15,27,30
85,10,16,12,14,28,29
86,9,15,13,13,29,28
87,8,14,14,12,30,27
88,7,13,15,11,31,26
89,6,12,16,10,32,25
90,5,11,17,9,33,24
91,4,10,18,8,32,23
92,5,9,19,7,31,22
93,6,8,20,6,30,21
94,7,7,21,5,29,20
95,8,6,22,4,28,19
96,9,5,23,3,27,18
97,10,6,24,2,26,17
98,11,7,25,1,25,16
99,12,8,26,2,24,15
100,13,9,27,3,23,14
101,14,10,28,4,22,13
102,15,11,29,5,21,12
103,16,12,30,6,20,11
104,17,13,31,7,19,10
105,18,14,32,8,18,9
106,19,15,33,9,17,8
107,20,16,34,10,16,7
108,21,17,35,11,15,6
109,22,18,36,12,14,5
110,23,19,37,13,13,4
111,24,20,38,14,12,3
112,25,21,39,15,11,4
113,26,22,40,16,10,5
114,27,23,41,17,9,6
115,28,24,42,18,8,7
116,29,25,43,19,7,8
117,30,26,44,20,6,9
118,31,27,43,21,5,10
119,32,28,42,22,4,11
120,33,29,41,23,3,12
121,34,30,40,24,2,13
122,35,31,39,25,1,14
123,36,32,38,26,2,15
124,37,33,37,27,3,16
125,38,34,36,28,4,17
126,39,35,35,29,5,18
127,40,36,34,30,6,19
128,41,37,33,31,7,20
129,42,38,32,32,8,21
130,43,39,31,33,9,22
131,44,40,30,34,10,23
132,45,41,29,35,11,24
133,46,42,28,36,12,25
134,47,43,27,37,13,26
135,48,44,26,38,14,27
136,49,44,25,39,15,28
137,48,44,24,40,16,29
138,47,44,23,39,17,30
139,46,44,22,38,18,31
140,45,44,21,37,19,32
141,44,44,20,36,20,33
142,43,44,19,35,21,34
143,42,44,18,34,22,35
144,41,44,17,33,23,36
145,40,44,16,32,24,37
146,39,44,15,31,25,38
147,38,44,14,30,26,39
148,37,44,13,29,27,40
149,36,44,12,28,28,41
150,35,44,11,27,29,42
151,34,44,10,26,30,43
152,33,44,9,25,31,44
153,32,44,8,24,32,45
154,31,44,7,23,33,46
155,30,44,7,22,34,47
156,29,44,7,21,35,48
157,28,44,7,20,36,49
158,27,44,7,19,37,49
159,26,44,7,18,38,49
160,25,44,7,17,39,49
161,24,44,7,16,40,49
162,23,44,7,15,40,49
163,22,44,7,14,40,49
164,21,44,7,13,40,49
165,20,44,7,12,40,49
166,20,44,7,11,40,49
167,20,44,7,10,40,49
168,20,44,7,9,40,49
169,20,44,7,8,40,49
170,20,44,7,7,40,49
171,20,44,7,6,40,48
172,20,44,7,5,40,47
173,21,44,7,4,40,46
174,22,44,7,3,40,45
175,23,43,7,2,40,44
176,24,42,7,1,40,43
177,25,41,7,1,40,42
178,26,40,7,1,40,41
179,27,39,7,1,40,40
180,28,38,7,1,40,39
181,29,37,8,1,40,38
182,30,36,9,1,40,37
183,31,35,10,1,40,36
184,32,34,11,1,40,35
185,33,33,11,1,40,34
186,34,32,11,2,40,33
187,35,31,11,3,40,32
188,36,30,11,4,40,31
189,37,29,11,5,40,30
190,38,28,11,6,40,29
191,39,27,11,7,39,28
192,40,26,11,8,38,27
193,41,25,11,9,37,26
194,42,24,11,10,36,25
195,43,23,11,11,35,24
196,44,22,11,12,34,23
197,45,21,11,13,33,22
198,46,20,11,14,32,21
199,47,19,11,15,31,20
200,48,18,11,16,30,19
201,49,17,11,17,29,18
202,50,16,11,18,28,17
203,49,15,11,19,27,16
