id,source,dest,request_time,elevator,estimated_wait_time,pickup_time,actual_wait_time,dropoff_time,travel_time,total_time
c01,1,10,0,E1,0,0,0,9,9,9
c02,1,15,0,E1,0,0,0,14,14,14
c03,1,5,0,E1,0,0,0,4,4,4
c04,1,12,0,E1,0,0,0,11,11,11
c05,1,8,0,E2,0,0,0,7,7,7
c06,1,14,0,E2,0,0,0,13,13,13
c07,1,3,0,E2,0,0,0,2,2,2
c08,1,11,0,E2,0,0,0,10,10,10
c09,1,6,0,E1,0,28,28,33,5,33
c10,1,13,0,E1,0,28,28,40,12,40
c11,8,15,30,E2,6,36,6,57,21,27
c12,8,15,30,E2,6,36,6,57,21,27
c13,8,15,30,E2,6,36,6,57,21,27
c14,8,15,30,E2,6,36,6,57,21,27
c15,8,15,30,E1,5,35,5,42,7,12
c16,8,15,30,E1,5,35,5,42,7,12
c17,8,15,30,E1,5,35,5,42,7,12
c18,8,15,30,E1,5,49,19,70,21,40
c19,8,15,30,E2,6,64,34,85,21,55
c20,15,1,60,E1,10,70,10,84,14,24
c21,15,1,60,E1,10,70,10,84,14,24
c22,15,1,60,E1,10,70,10,84,14,24
c23,15,1,60,E1,10,70,10,84,14,24
c24,15,1,60,E2,3,85,25,99,14,39
c25,15,1,60,E2,3,85,25,99,14,39
c26,15,1,60,E2,3,85,25,99,14,39
c27,15,1,60,E2,3,85,25,99,14,39
c28,15,1,60,E1,10,98,38,112,14,52
