time,E1,E2
0,1,1
1,2,2
2,3,3
3,4,4
4,5,5
5,6,6
6,7,7
7,8,8
8,9,9
9,10,10
10,11,11
11,12,12
12,13,13
13,14,14
14,15,14
15,14,14
16,13,14
17,12,14
18,11,14
19,10,14
20,9,14
21,8,14
22,7,14
23,6,14
24,5,14
25,4,14
26,3,14
27,2,14
28,1,14
29,2,14
30,3,14
31,4,13
32,5,12
33,6,11
34,7,10
35,8,9
36,9,8
37,10,7
38,11,6
39,12,5
40,13,4
41,14,3
42,15,2
43,14,1
44,13,2
45,12,3
46,11,4
47,10,5
48,9,6
49,8,7
50,7,8
51,6,9
52,5,10
53,4,11
54,3,12
55,2,13
56,1,14
57,2,15
58,3,14
59,4,13
60,5,12
61,6,11
62,7,10
63,8,9
64,9,8
65,10,7
66,11,6
67,12,5
68,13,4
69,14,3
70,15,2
71,14,1
72,13,2
73,12,3
74,11,4
75,10,5
76,9,6
77,8,7
78,7,8
79,6,9
80,5,10
81,4,11
82,3,12
83,2,13
84,1,14
85,2,15
86,3,14
87,4,13
88,5,12
89,6,11
90,7,10
91,8,9
92,9,8
93,10,7
94,11,6
95,12,5
96,13,4
97,14,3
98,15,2
99,14,1
100,13,1
101,12,1
102,11,1
103,10,1
104,9,1
105,8,1
106,7,1
107,6,1
108,5,1
109,4,1
110,3,1
111,2,1
112,1,1
