time,E1,E2,E3,E4,E5
0,1,1,1,1,1
1,2,1,1,1,1
2,3,1,1,1,1
3,4,2,1,1,1
4,5,3,1,1,1
5,6,4,2,1,1
6,7,5,3,1,1
7,8,6,4,2,1
8,9,7,5,3,1
9,10,8,6,4,1
10,11,9,7,5,1
11,12,10,8,6,1
12,13,11,9,7,1
13,14,12,10,8,1
14,15,13,11,9,1
15,16,14,12,10,1
16,17,15,13,11,1
17,18,16,14,12,1
18,19,17,15,13,1
19,20,18,16,14,1
20,21,19,17,15,1
21,22,20,18,16,1
22,23,21,19,17,1
23,24,22,20,18,1
24,25,23,21,19,1
25,26,24,22,20,1
26,27,25,23,21,1
27,28,26,24,22,1
28,29,27,25,23,1
29,30,28,26,24,1
30,31,29,27,25,1
31,32,30,28,26,1
32,33,31,29,27,1
33,34,32,30,28,1
34,35,33,31,29,1
35,36,34,32,30,1
36,37,35,33,31,1
37,38,36,34,32,1
38,39,37,35,33,1
39,40,38,36,34,1
40,39,39,37,35,1
41,38,40,38,36,1
42,37,39,39,37,1
43,36,38,40,38,1
44,35,37,39,39,1
45,34,36,38,40,1
46,33,35,37,39,1
47,32,34,36,38,1
48,31,33,35,37,1
49,30,32,34,36,1
50,29,31,33,35,1
51,28,30,32,34,1
52,27,29,31,33,1
53,26,28,30,32,1
54,25,27,29,31,1
55,24,26,28,30,1
56,23,25,27,29,1
57,22,24,26,28,1
58,21,23,25,27,1
59,20,22,24,26,1
60,19,21,23,25,1
61,18,20,22,24,1
62,17,19,21,23,1
63,16,18,20,22,1
64,15,17,19,21,1
65,14,16,18,20,1
66,13,15,17,19,1
67,12,14,16,18,1
68,11,13,15,17,1
69,10,12,14,16,1
70,9,11,13,15,1
71,8,10,12,14,1
72,7,9,11,13,1
73,6,8,10,12,1
74,5,7,9,11,1
75,4,6,8,10,1
76,3,5,7,9,1
77,2,4,6,8,1
78,1,3,5,7,1
79,1,2,4,6,1
80,1,1,3,5,1
81,1,1,2,4,1
82,1,1,1,3,1
83,1,1,1,2,1
84,1,1,1,1,1
