time,E1,E2,E3,E4
0,1,1,1,1
1,2,2,1,1
2,3,3,1,1
3,4,4,1,1
4,5,5,1,1
5,6,6,1,1
6,7,7,2,2
7,8,8,3,3
8,9,9,4,4
9,10,10,5,5
10,11,11,6,6
11,12,12,7,7
12,13,13,8,8
13,14,14,9,9
14,15,15,10,10
15,16,16,11,11
16,17,17,12,12
17,18,18,13,13
18,19,19,14,14
19,20,20,15,15
20,21,21,16,16
21,22,22,17,17
22,23,23,18,18
23,24,24,19,19
24,25,25,20,20
25,26,26,21,21
26,27,27,22,22
27,28,28,23,23
28,29,29,24,24
29,30,30,25,25
30,31,31,26,26
31,32,32,27,27
32,33,33,28,28
33,34,34,29,29
34,35,35,30,30
35,34,34,31,31
36,33,33,32,32
37,32,32,33,33
38,31,31,34,34
39,30,30,35,35
40,29,29,34,34
41,28,28,33,33
42,27,27,32,32
43,26,26,31,31
44,25,25,30,30
45,24,24,29,29
46,23,23,28,28
47,22,22,27,27
48,21,21,26,26
49,20,20,25,25
50,19,19,24,24
51,18,18,23,23
52,17,17,22,22
53,16,16,21,21
54,15,15,20,20
55,14,14,19,19
56,13,13,18,18
57,12,12,17,17
58,11,11,16,16
59,10,10,15,15
60,9,9,14,14
61,8,8,13,13
62,7,7,12,12
63,6,6,11,11
64,5,5,10,10
65,4,4,9,9
66,3,3,8,8
67,2,2,7,7
68,1,1,6,6
69,2,2,5,5
70,3,3,4,4
71,4,4,3,3
72,5,5,2,2
73,6,6,1,1
74,7,7,2,2
75,8,8,3,3
76,9,9,4,4
77,10,10,5,5
78,11,11,6,6
79,12,12,7,7
80,13,13,8,8
81,14,14,9,9
82,15,15,10,10
83,16,16,11,11
84,17,17,12,12
85,18,18,13,13
86,19,19,14,14
87,20,20,15,15
88,21,21,15,16
89,22,22,15,17
90,23,23,15,18
91,24,24,15,19
92,25,25,15,20
93,26,26,15,21
94,27,27,15,22
95,28,28,15,23
96,29,29,15,24
97,30,29,15,25
98,31,29,15,26
99,32,29,15,27
100,33,29,15,28
101,34,29,15,29
102,34,29,15,30
103,34,29,15,31
104,34,29,15,31
105,34,29,15,31
106,34,29,15,31
107,34,29,15,31
108,34,29,15,31
109,34,29,15,31
110,34,29,15,31
111,34,29,15,31
112,34,29,15,31
113,34,29,15,31
114,34,29,15,31
115,34,29,15,31
116,35,29,15,32
117,34,29,15,33
118,33,29,15,34
119,32,29,15,35
120,31,29,15,34
121,30,28,15,33
122,29,27,15,32
123,28,26,15,31
124,27,25,15,30
125,26,24,15,29
126,25,23,14,28
127,24,22,13,27
128,23,21,12,26
129,22,20,11,25
130,21,19,10,24
131,20,18,9,23
132,19,17,8,22
133,18,16,7,21
134,17,15,6,20
135,16,14,5,19
136,15,13,4,18
137,14,12,3,17
138,13,11,2,16
139,12,10,1,15
140,11,9,2,14
141,10,8,3,13
142,9,7,4,12
143,8,6,5,11
144,7,5,6,10
145,6,4,7,9
146,5,3,8,8
147,4,2,9,7
148,3,1,10,6
149,2,2,11,5
150,1,3,12,4
151,2,4,13,3
152,3,5,14,2
153,4,6,15,1
154,5,7,16,2
155,6,8,17,3
156,7,9,18,4
157,8,10,19,5
158,9,11,20,6
159,10,11,21,7
160,11,11,22,8
161,12,11,23,9
162,13,11,24,10
163,14,11,25,11
164,15,11,26,12
165,16,11,27,13
166,17,11,28,14
167,18,11,29,15
168,19,11,30,16
169,20,11,31,17
170,21,11,32,18
171,22,11,33,19
172,23,11,34,20
173,24,11,34,21
174,25,11,34,22
175,26,11,34,23
176,27,11,34,24
177,28,11,34,25
178,29,11,34,26
179,30,11,34,27
180,31,11,34,28
181,32,11,34,29
182,33,11,34,30
183,34,11,34,31
184,35,11,34,32
185,34,11,34,33
186,34,11,34,34
187,34,11,34,35
188,34,11,34,34
189,34,11,34,33
190,34,11,34,32
191,34,11,34,31
192,34,11,34,30
193,34,11,34,29
194,34,11,34,28
195,34,11,34,27
196,34,11,34,26
197,34,11,34,25
198,34,11,34,24
199,34,11,34,23
200,34,11,34,22
201,34,11,34,21
202,34,11,34,20
203,34,11,34,19
204,34,11,34,18
205,34,11,34,17
206,34,11,34,16
207,34,11,34,15
208,34,11,34,14
209,34,11,34,13
210,34,11,34,12
211,34,11,34,11
212,34,11,34,10
213,34,11,34,9
214,34,11,34,8
215,34,11,34,7
216,34,11,34,6
217,34,11,34,5
218,34,11,34,4
