id,source,dest,request_time,elevator,estimated_wait_time,pickup_time,actual_wait_time,dropoff_time,travel_time,total_time
s01,1,25,0,E1,0,0,0,24,24,24
s02,1,40,0,E1,0,0,0,39,39,39
s03,1,12,0,E1,0,0,0,11,11,11
s04,1,48,0,E1,0,0,0,47,47,47
s05,1,8,0,E1,0,0,0,7,7,7
s06,1,33,0,E1,0,0,0,32,32,32
s07,1,45,2,E2,0,2,0,46,44,44
s08,1,18,2,E2,0,2,0,19,17,17
s09,1,29,2,E2,0,2,0,30,28,28
s10,1,6,2,E2,0,2,0,7,5,5
s11,1,50,2,E2,0,2,0,51,49,49
s12,1,15,4,E3,0,4,0,18,14,14
s13,1,37,4,E3,0,4,0,40,36,36
s14,1,22,4,E3,0,4,0,25,21,21
s15,25,45,10,E4,24,34,24,54,20,44
s16,25,3,10,E5,24,34,24,106,72,96
s17,33,50,15,E6,32,47,32,64,17,49
s18,33,5,15,E1,17,32,17,94,62,79
s19,18,40,20,E2,1,83,63,139,56,119
s20,18,2,20,E3,1,21,1,101,80,81
s21,10,30,22,E4,3,99,77,137,38,115
s22,10,1,22,E5,3,99,77,108,9,86
s23,3,48,30,E6,13,111,81,160,49,130
s24,45,4,35,E1,9,44,9,95,51,60
s25,20,42,40,E2,19,81,41,141,60,101
s26,42,15,45,E3,0,45,0,88,43,43
s27,8,33,50,E4,33,101,51,140,39,90
s28,33,10,55,E5,13,76,21,99,23,44
s29,27,49,60,E6,19,87,27,161,74,101
s30,49,20,65,E1,15,146,81,177,31,112
s31,5,44,68,E2,28,96,28,143,47,75
s32,44,7,70,E3,11,145,75,194,49,124
s33,1,30,80,E4,28,108,28,137,29,57
s34,30,1,80,E5,1,137,57,206,69,126
s35,20,45,82,E6,12,94,12,157,63,75
s36,45,20,82,E1,28,142,60,177,35,95
s37,10,35,84,E2,7,91,7,134,43,50
s38,35,10,84,E3,16,136,52,191,55,107
s39,25,1,85,E4,1,132,47,206,74,121
s40,1,25,85,E5,23,108,23,132,24,47
s41,15,40,85,E5,9,94,9,147,53,62
s42,40,15,85,E4,16,147,62,192,45,107
s43,48,1,170,E6,1,171,1,218,47,48
s44,35,1,170,E6,14,184,14,218,34,48
s45,22,1,170,E6,27,197,27,218,21,48
s46,40,1,170,E6,9,179,9,218,39,48
s47,12,1,170,E6,37,207,37,218,11,48
s48,29,1,170,E6,20,190,20,218,28,48
s49,45,1,172,E1,20,240,68,294,54,122
s50,18,1,172,E1,7,179,7,196,17,24
s51,33,1,172,E1,8,228,56,294,66,122
s52,8,1,172,E1,17,189,17,196,7,24
s53,50,1,172,E1,25,245,73,294,49,122
s54,25,1,174,E2,19,193,19,217,24,43
s55,15,1,174,E2,29,203,29,217,14,43
s56,37,1,174,E2,7,181,7,217,36,43
s57,10,11,180,E3,11,191,11,210,19,30
s58,2,49,185,E4,20,205,20,254,49,69
s59,30,5,190,E5,13,235,45,300,65,110
s60,18,3,195,E6,6,201,6,216,15,21
s61,44,2,200,E1,39,239,39,293,54,93
s62,5,48,210,E2,3,213,3,264,51,54
