time,E1,E2,E3,E4,E5,E6
0,1,1,1,1,1,1
1,2,1,1,1,1,1
2,3,1,1,1,1,1
3,4,2,1,1,1,1
4,5,3,1,1,1,1
5,6,4,2,1,1,1
6,7,5,3,1,1,1
7,8,6,4,1,1,1
8,9,7,5,1,1,1
9,10,8,6,1,1,1
10,11,9,7,1,1,1
11,12,10,8,2,2,1
12,13,11,9,3,3,1
13,14,12,10,4,4,1
14,15,13,11,5,5,1
15,16,14,12,6,6,1
16,17,15,13,7,7,2
17,18,16,14,8,8,3
18,19,17,15,9,9,4
19,20,18,16,10,10,5
20,21,19,17,11,11,6
21,22,20,18,12,12,7
22,23,21,19,13,13,8
23,24,22,20,14,14,9
24,25,23,21,15,15,10
25,26,24,22,16,16,11
26,27,25,23,17,17,12
27,28,26,24,18,18,13
28,29,27,25,19,19,14
29,30,28,26,20,20,15
30,31,29,27,21,21,16
31,32,30,28,22,22,17
32,33,31,29,23,23,18
33,34,32,30,24,24,19
34,35,33,31,25,25,20
35,36,34,32,26,26,21
36,37,35,33,27,27,22
37,38,36,34,28,28,23
38,39,37,35,29,29,24
39,40,38,36,30,30,25
40,41,39,37,31,31,26
41,42,40,38,32,32,27
42,43,41,39,33,33,28
43,44,42,40,34,34,29
44,45,43,41,35,35,30
45,46,44,42,36,36,31
46,47,45,43,37,37,32
47,48,46,44,38,38,33
48,49,47,45,39,39,34
49,50,48,46,40,40,35
50,49,49,47,41,41,36
51,48,50,48,42,42,37
52,47,49,49,43,43,38
53,46,48,50,44,44,39
54,45,47,49,45,45,40
55,44,46,48,46,46,41
56,43,45,47,47,47,42
57,42,44,46,48,48,43
58,41,43,45,49,49,44
59,40,42,44,50,50,45
60,39,41,43,49,49,46
61,38,40,42,48,48,47
62,37,39,41,47,47,48
63,36,38,40,46,46,49
64,35,37,39,45,45,50
65,34,36,38,44,44,49
66,33,35,37,43,43,48
67,32,34,36,42,42,47
68,31,33,35,41,41,46
69,30,32,34,40,40,45
70,29,31,33,39,39,44
71,28,30,32,38,38,43
72,27,29,31,37,37,42
73,26,28,30,36,36,41
74,25,27,29,35,35,40
75,24,26,28,34,34,39
76,23,25,27,33,33,38
77,22,24,26,32,32,37
78,21,23,25,31,31,36
79,20,22,24,30,30,35
80,19,21,23,29,29,34
81,18,20,22,28,28,33
82,17,19,21,27,27,32
83,16,18,20,26,26,31
84,15,17,19,25,25,30
85,14,16,18,24,24,29
86,13,15,17,23,23,28
87,12,14,16,22,22,27
88,11,13,15,21,21,26
89,10,12,14,20,20,25
90,9,11,13,19,19,24
91,8,10,12,18,18,23
92,7,9,11,17,17,22
93,6,8,10,16,16,21
94,5,7,9,15,15,20
95,4,6,8,14,14,19
96,3,5,7,13,13,18
97,2,4,6,12,12,17
98,1,3,5,11,11,16
99,2,2,4,10,10,15
100,3,1,3,9,9,14
101,4,2,2,8,8,13
102,5,3,1,7,7,12
103,6,4,2,6,6,11
104,7,5,3,5,5,10
105,8,6,4,4,4,9
106,9,7,5,3,3,8
107,10,8,6,2,2,7
108,11,9,7,1,1,6
109,12,10,8,2,2,5
110,13,11,9,3,3,4
111,14,12,10,4,4,3
112,15,13,11,5,5,2
113,16,14,12,6,6,1
114,17,15,13,7,7,2
115,18,16,14,8,8,3
116,19,17,15,9,9,4
117,20,18,16,10,10,5
118,21,19,17,11,11,6
119,22,20,18,12,12,7
120,23,21,19,13,13,8
121,24,22,20,14,14,9
122,25,23,21,15,15,10
123,26,24,22,16,16,11
124,27,25,23,17,17,12
125,28,26,24,18,18,13
126,29,27,25,19,19,14
127,30,28,26,20,20,15
128,31,29,27,21,21,16
129,32,30,28,22,22,17
130,33,31,29,23,23,18
131,34,32,30,24,24,19
132,35,33,31,25,25,20
133,36,34,32,26,26,21
134,37,35,33,27,27,22
135,38,36,34,28,28,23
136,39,37,35,29,29,24
137,40,38,36,30,30,25
138,41,39,37,31,31,26
139,42,40,38,32,32,27
140,43,41,39,33,33,28
141,44,42,40,34,34,29
142,45,43,41,35,35,30
143,46,44,42,36,36,31
144,47,44,43,37,37,32
145,48,44,44,38,38,33
146,49,44,45,39,39,34
147,50,44,46,40,40,35
148,49,44,47,41,41,36
149,48,44,48,42,42,37
150,47,44,49,43,43,38
151,46,44,50,44,44,39
152,45,44,49,45,45,40
153,44,44,48,46,46,41
154,43,44,47,47,47,42
155,42,44,46,48,48,43
156,41,44,45,49,49,44
157,40,44,44,50,50,45
158,39,44,43,49,49,46
159,38,44,42,48,48,47
160,37,44,41,47,47,48
161,36,44,40,46,46,49
162,35,44,39,45,45,49
163,34,44,38,44,44,49
164,33,44,37,43,43,49
165,32,44,36,42,42,49
166,31,44,35,41,41,49
167,30,44,34,40,40,49
168,29,44,33,39,39,49
169,28,44,32,38,38,49
170,27,44,31,37,37,49
171,26,44,30,36,36,48
172,25,44,29,35,35,47
173,24,44,28,34,34,46
174,23,44,27,33,33,45
175,22,43,26,32,32,44
176,21,42,25,31,31,43
177,20,41,24,30,30,42
178,19,40,23,29,29,41
179,18,39,22,28,28,40
180,17,38,21,27,27,39
181,16,37,20,26,26,38
182,15,36,19,25,25,37
183,14,35,18,24,24,36
184,13,34,17,23,23,35
185,12,33,16,22,22,34
186,11,32,15,21,21,33
187,10,31,14,20,20,32
188,9,30,13,19,19,31
189,8,29,12,18,18,30
190,7,28,11,17,17,29
191,6,27,10,16,16,28
192,5,26,9,15,15,27
193,4,25,8,14,14,26
194,3,24,7,13,13,25
195,2,23,6,12,12,24
196,1,22,5,11,11,23
197,2,21,4,10,10,22
198,3,20,3,9,9,21
199,4,19,2,8,8,20
200,5,18,1,7,7,19
201,6,17,2,6,6,18
202,7,16,3,5,5,17
203,8,15,4,4,4,16
